GRB	Time [UT]	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	Redshift
100724A	00:42:19	194.569	-11.095	1.7	1.4	1.6	0.2	1.9	0.2	1.288 (VLT: absorption)
100704A	03:35:08	133.639	-24.202	1.0	197.5	60	2	4.3	0.2	3.600 (Swift: tentative redshift)
100621A	03:03:32	315.309	-51.102	1.0	63.6	210	0	12.8	0.3	0.542 (VLT: emission)
100615A	01:59:03	177.208	-19.483	1.0	39	50	1	5.4	0.2	1.398 (VLT: emission, host)
100513A	02:07:08	169.606	3.617	1.5	84	14	1	0.6	0.1	4.772 (Gemini North: absorption)
100425A	02:50:45	299.161	-26.463	2.4	37.0	4.7	0.9	1.4	0.2	1.755 (VLT: absorption)
100424A	16:32:42	209.453	1.512	1.5	104	15	1	0.4	0.1	2.465 (VLT: emission, host)
100418A	21:10:08	256.358	11.457	1.9	7.0	3.4	0.5	1.0	0.2	0.6235 (VLT: absorption)|0.624 (Gemini North: absorption)
100413A	17:33:28	266.223	15.835	1.5	191	62	2	0.7	0.1	3.900 (Swift-XRT: tentative)
#	100316D	12:44:50	107.599	-56.275	3.0	n/a	3.0	0.8	0.1	0.0	0.014
100316B	08:01:36	163.499	-45.464	1.4	3.8	2.0	0.2	1.3	0.1	1.180 (VLT: absorption)
100302A	19:53:06	195.504	74.568	1.7	17.9	3.1	0.4	0.5	0.1	4.813 (Gemini-North: absorption)
100219A	15:15:46	154.202	-12.555	2.5	18.8	3.7	0.6	0.4	0.1	4.500 (MPI/ESO: photometric)|4.6667 (VLT: absorption)|4.7 (Gemini South: absorption)
091208B	09:49:57	29.411	16.881	1.2	14.9	33	2	15.2	1.0	1.063 (Gemini North: absorption)|1.0633 (Keck I: absorption)
091127	23:25:45	36.581	-18.948	1.2	7.1	90	3	46.5	2.7	0.490 (Gemini-North: emission)|0.49034 (VLT: emission)
091109A	04:57:43	309.252	-44.177	2.1	48	16	2	1.3	0.4	3.500 (ESO/MPI: photometric)|3.076 (VLT: absorption)
091029	03:53:22	60.166	-55.954	1.0	39.2	24	1	1.8	0.1	2.752 (Gemini-South: absorption)
091024	08:56:01	339.240	56.885	1.0	109.8	61	3	2.0	0.3	1.092 (Gemini-North)|1.091 (Keck I: absorption)
091020	21:36:44	175.727	50.977	1.0	34.6	37	1	4.2	0.3	1.710 (NOT)
091018	20:48:19	32.191	-57.546	1.0	4.4	14	1	10.3	0.4	0.971 (Magellan Clay: absorption)|0.9710 (VLT: absorption)
090927	10:07:16	343.929	-70.973	1.6	2.2	2.0	0.3	2.0	0.2	1.370 (VLT: absorption)
090926B	21:55:48	46.310	-38.997	1.0	109.7	73	2	3.2	0.3	1.240 (VLT: emission & absorption)
#	090814A	00:52:19	239.613	25.586	2.0	80	13	2	0.6	0.2	0.696 < z < 2.2 (VLT: absorption)
090812	06:02:08	353.20	-10.609	1.0	66.7	58	2	3.6	0.2	2.452 (VLT: absorption)
090809	17:31:14	328.665	-0.083	2.0	5.4	3.4	0.5	1.1	0.2	2.737 (VLT)
090726	22:42:27	248.681	72.866	1.7	67.0	8.6	1.0	0.7	0.2	2.710 (SAO RAS: absoption)
